number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
453,1.581739688,07:08.5,08:01.8,0 days 00:00:53.211359,gelu,64,0,5,huber,0.000693552,0.26186015,0.000135651,512,,COMPLETE
438,1.592808056,57:07.5,57:54.4,0 days 00:00:46.933072,gelu,64,0,5,huber,0.000863894,0.338347652,6.31E-05,512,,COMPLETE
494,1.593911326,40:54.6,41:50.5,0 days 00:00:55.889796,gelu,64,0,6,huber,0.00072269,0.26220387,0.000151014,512,,COMPLETE
188,1.596024132,34:17.2,34:55.4,0 days 00:00:38.206283,gelu,64,0,4,huber,0.001434519,0.247630672,0.000531303,512,,COMPLETE
265,1.597229791,35:49.2,36:39.7,0 days 00:00:50.512576,gelu,64,0,5,huber,0.00126256,0.316368294,0.000874275,128,,COMPLETE
477,1.597435725,26:23.7,27:12.5,0 days 00:00:48.832265,gelu,64,0,6,huber,0.00066761,0.255205204,0.000105633,512,,COMPLETE
203,1.597728717,44:59.4,45:47.8,0 days 00:00:48.409069,gelu,64,0,5,huber,0.001757922,0.271913207,4.83E-05,128,,COMPLETE
300,1.59790113,06:23.5,07:14.7,0 days 00:00:51.220536,gelu,64,0,5,huber,0.001244714,0.33183687,0.000694346,128,,COMPLETE
82,1.598400402,02:15.7,02:59.9,0 days 00:00:44.148069,gelu,64,0,4,mse,0.000758133,0.338297285,0.00069592,128,,COMPLETE
360,1.598755693,56:28.4,57:14.3,0 days 00:00:45.881247,gelu,64,0,5,huber,0.000996268,0.32697607,4.40E-05,512,,COMPLETE
484,1.59986769,32:37.5,33:25.3,0 days 00:00:47.781648,gelu,64,0,6,huber,0.000670853,0.268687123,0.000152511,512,,COMPLETE
465,1.601038647,16:12.8,17:00.5,0 days 00:00:47.651892,gelu,64,0,6,huber,0.00063065,0.274982108,0.000301562,512,,COMPLETE
50,1.601856613,36:51.3,37:34.3,0 days 00:00:43.010040,gelu,64,0,5,huber,0.000894357,0.294335472,0.000746071,512,,COMPLETE
227,1.601909184,03:29.0,04:20.8,0 days 00:00:51.805213,gelu,64,0,5,mse,0.000628346,0.333587562,0.00085289,128,,COMPLETE
273,1.602258742,44:15.4,45:03.9,0 days 00:00:48.516772,gelu,64,0,5,huber,0.001101767,0.320086341,0.000885927,128,,COMPLETE
359,1.602477467,55:41.0,56:28.3,0 days 00:00:47.303876,gelu,64,0,5,huber,0.001010404,0.325159082,5.12E-05,1024,,COMPLETE
245,1.602557361,19:09.1,20:00.3,0 days 00:00:51.268602,gelu,64,0,5,mse,0.000696655,0.343273988,0.000784232,128,,COMPLETE
231,1.602776587,06:39.3,07:36.1,0 days 00:00:56.811004,gelu,64,0,6,mse,0.000707587,0.338674576,0.0006533,128,,COMPLETE
114,1.60278312,32:27.5,33:29.1,0 days 00:01:01.542425,gelu,64,0,5,huber,0.001003687,0.330085345,0.000633552,128,,COMPLETE
206,1.602796793,47:19.6,48:11.5,0 days 00:00:51.921142,gelu,64,0,5,huber,0.00157817,0.253680358,5.20E-05,128,,COMPLETE
499,1.603023982,44:57.1,45:34.5,0 days 00:00:37.328926,gelu,64,0,4,huber,0.00074226,0.364763948,0.000189989,512,,COMPLETE
199,1.603243744,41:28.8,42:25.3,0 days 00:00:56.484241,gelu,64,0,5,huber,0.001630964,0.333533168,8.60E-06,128,,COMPLETE
335,1.603261328,35:41.8,36:33.0,0 days 00:00:51.129002,gelu,64,0,5,huber,0.001142367,0.336787203,0.000708606,128,,COMPLETE
491,1.603423452,37:57.2,38:42.5,0 days 00:00:45.242647,gelu,64,0,6,huber,0.00067004,0.283674503,0.00012488,512,,COMPLETE
493,1.603507996,40:01.4,40:54.5,0 days 00:00:53.057655,gelu,64,0,6,huber,0.000728663,0.263238297,0.00014827,512,,COMPLETE
22,1.603526795,09:16.6,10:09.7,0 days 00:00:53.147246,gelu,64,0,5,huber,0.001082051,0.329123734,0.000333507,128,,COMPLETE
51,1.60352869,37:34.5,38:21.6,0 days 00:00:47.122464,gelu,64,0,5,huber,0.000881019,0.26318594,0.000775038,512,,COMPLETE
467,1.603682876,17:50.6,18:45.2,0 days 00:00:54.601928,gelu,64,0,6,huber,0.0006497,0.267487173,0.000221198,512,,COMPLETE
479,1.603758121,28:51.2,29:42.1,0 days 00:00:50.884659,gelu,64,0,6,huber,0.000665317,0.27939968,0.000116313,512,,COMPLETE
154,1.603956318,06:44.4,07:39.3,0 days 00:00:54.943855,gelu,64,0,5,huber,0.001819114,0.326547127,0.000629877,128,,COMPLETE
345,1.604117155,42:50.7,43:46.3,0 days 00:00:55.661292,gelu,64,0,5,huber,0.001126456,0.248654048,0.000593147,128,,COMPLETE
460,1.604360843,12:47.0,13:33.7,0 days 00:00:46.704484,gelu,64,0,5,huber,0.000632634,0.258641907,0.000276332,512,,COMPLETE
451,1.604367423,05:44.8,06:26.2,0 days 00:00:41.454430,gelu,64,0,5,huber,0.000696052,0.267498495,0.000338233,512,,COMPLETE
113,1.60438503,31:26.8,32:27.4,0 days 00:01:00.590040,gelu,64,0,5,huber,0.001045115,0.327756805,0.000588751,128,,COMPLETE
458,1.60447284,11:19.6,12:03.4,0 days 00:00:43.844799,gelu,64,0,5,huber,0.00065047,0.260704483,0.000188778,512,,COMPLETE
394,1.604507589,22:10.2,23:01.7,0 days 00:00:51.550956,gelu,64,0,5,mse,0.001031451,0.327566591,4.77E-05,128,,COMPLETE
483,1.604588568,31:50.2,32:37.3,0 days 00:00:47.142692,gelu,64,0,6,huber,0.000649698,0.278529941,0.000110568,512,,COMPLETE
