number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
0,1.0632238006591797,2025-10-13 18:53:02.473085,2025-10-13 18:57:10.874766,0 days 00:04:08.401681,gelu,16,0.2,3,mse,0.0006066716167545476,0.2732723686587384,7.523742884534855e-06,512,,COMPLETE
1,1.0505411064624786,2025-10-13 18:57:11.035122,2025-10-13 18:58:39.036064,0 days 00:01:28.000942,relu,32,0.1,3,mse,0.0012527031373763462,0.3040136042355622,8.61257919259488e-06,256,,COMPLETE
2,1.0481237769126892,2025-10-13 18:58:39.200308,2025-10-13 19:00:35.894232,0 days 00:01:56.693924,relu,32,0.3,4,mse,0.001963971335197028,0.2397431363068345,0.00020736445177905034,512,,COMPLETE
3,1.05844331741333,2025-10-13 19:00:36.057964,2025-10-13 19:01:39.872049,0 days 00:01:03.814085,gelu,32,0.0,3,huber,0.0010886607090370023,0.2987591192728782,0.00020554245520150764,1024,,COMPLETE
4,1.0283641278743745,2025-10-13 19:01:40.036352,2025-10-13 19:03:27.771528,0 days 00:01:47.735176,relu,32,0.2,2,huber,0.0006475843912188624,0.30786844838313016,0.00047607677518095016,1024,,COMPLETE
5,1.0295881128311157,2025-10-13 19:03:27.940183,2025-10-13 19:05:13.100095,0 days 00:01:45.159912,relu,32,0.0,3,mse,0.0007088560513301823,0.26017566196335395,3.10274095091284e-05,512,,COMPLETE
6,1.0355583548545837,2025-10-13 19:05:13.260989,2025-10-13 19:09:22.512904,0 days 00:04:09.251915,relu,16,0.1,4,mae,0.0015917403205814298,0.23730370207997087,9.169384722192327e-06,256,,COMPLETE
7,1.009643441438675,2025-10-13 19:09:22.672382,2025-10-13 19:11:35.752854,0 days 00:02:13.080472,relu,32,0.1,4,mae,0.000699164859916176,0.3794431515906654,1.902428324748959e-06,1024,,COMPLETE
8,1.052639102935791,2025-10-13 19:11:35.905384,2025-10-13 19:12:45.038884,0 days 00:01:09.133500,relu,64,0.2,2,mae,0.0006823286119485609,0.24744981749936001,0.00013694231460024357,128,,COMPLETE
9,1.0452576458454133,2025-10-13 19:12:45.193613,2025-10-13 19:16:13.444382,0 days 00:03:28.250769,relu,32,0.1,5,huber,0.0005171418382725168,0.2354221358814098,8.638073353835183e-05,128,,COMPLETE
10,1.0307231962680816,2025-10-13 19:16:13.598485,2025-10-13 19:17:51.150746,0 days 00:01:37.552261,gelu,64,0.3,6,mae,0.0008857637204571879,0.3939850901739813,1.0788457202107386e-06,1024,,COMPLETE
11,1.03689484000206,2025-10-13 19:17:51.300052,2025-10-13 19:19:19.825731,0 days 00:01:28.525679,relu,32,0.2,2,huber,0.0008309688828240165,0.3724827729758802,0.0007611882777505219,1024,,COMPLETE
12,1.0530626952648163,2025-10-13 19:19:19.969688,2025-10-13 19:20:35.509620,0 days 00:01:15.539932,relu,32,0.1,2,mae,0.0005252598601521462,0.3437254747782338,1.2611236054600694e-06,1024,,COMPLETE
13,0.9876329779624939,2025-10-13 19:20:35.653944,2025-10-13 19:21:57.593972,0 days 00:01:21.940028,relu,64,0.2,4,huber,0.0007752182100071809,0.3371009216257869,0.0007154639084621076,1024,,COMPLETE
14,1.0144041717052459,2025-10-13 19:21:57.731818,2025-10-13 19:22:51.078433,0 days 00:00:53.346615,relu,64,0.1,4,mae,0.0008379304549063732,0.34823063823598954,3.3416769375377494e-05,1024,,COMPLETE
15,0.9986380219459534,2025-10-13 19:22:51.218137,2025-10-13 19:24:06.528868,0 days 00:01:15.310731,gelu,64,0.2,4,huber,0.0010503514658017283,0.3434963263968158,2.6592105491091287e-06,1024,,COMPLETE
16,0.9885764837265014,2025-10-13 19:24:06.667292,2025-10-13 19:25:32.114677,0 days 00:01:25.447385,gelu,64,0.2,4,huber,0.0012434001074455156,0.20263584287618475,4.069347558810573e-06,1024,,COMPLETE
17,1.0502630352973938,2025-10-13 19:25:32.254105,2025-10-13 19:27:34.271258,0 days 00:02:02.017153,gelu,64,0.2,6,huber,0.0013574312155578637,0.2063741007051977,2.4182346155693563e-05,128,,COMPLETE
18,1.0250754654407501,2025-10-13 19:27:34.410937,2025-10-13 19:28:54.014562,0 days 00:01:19.603625,gelu,64,0.2,5,huber,0.0012757827332174564,0.20500767663099764,3.921790762200597e-06,256,,COMPLETE
19,1.0091088831424713,2025-10-13 19:28:54.153882,2025-10-13 19:29:57.314813,0 days 00:01:03.160931,gelu,64,0.2,4,huber,0.0015569664686957247,0.3245827656139045,6.499503178936985e-05,1024,,COMPLETE
20,1.005084216594696,2025-10-13 19:29:57.481562,2025-10-13 19:31:28.300953,0 days 00:01:30.819391,gelu,64,0.3,4,huber,0.0009379340911296893,0.28927975256403426,0.0004163200102419326,1024,,COMPLETE
21,0.9993992984294892,2025-10-13 19:31:28.471870,2025-10-13 19:32:50.318130,0 days 00:01:21.846260,gelu,64,0.2,4,huber,0.0010867497473221314,0.3344714610941543,2.6643362350685795e-06,1024,,COMPLETE
22,1.0070782124996185,2025-10-13 19:32:50.489639,2025-10-13 19:34:00.888573,0 days 00:01:10.398934,gelu,64,0.2,4,huber,0.0010509974666011324,0.36268349151179813,5.568894835301293e-06,1024,,COMPLETE
23,0.9969917297363281,2025-10-13 19:34:01.022508,2025-10-13 19:35:16.194593,0 days 00:01:15.172085,gelu,64,0.2,4,huber,0.0007977279142309517,0.3201252440762975,2.954768981343286e-06,1024,,COMPLETE
24,1.0283049583435058,2025-10-13 19:35:16.330826,2025-10-13 19:38:19.691347,0 days 00:03:03.360521,gelu,16,0.0,4,huber,0.0007730435612455891,0.32020826465431157,1.4783488062885283e-05,1024,,COMPLETE
25,1.01298730969429,2025-10-13 19:38:19.824953,2025-10-13 19:39:49.018802,0 days 00:01:29.193849,gelu,64,0.2,6,huber,0.0007723471739186052,0.27816917464057217,1.814170727733093e-05,1024,,COMPLETE
26,1.0031709969043732,2025-10-13 19:39:49.152629,2025-10-13 19:41:09.916334,0 days 00:01:20.763705,gelu,64,0.2,4,huber,0.0005888029307857242,0.31411994130060084,3.6958292246395696e-06,512,,COMPLETE
27,1.033460646867752,2025-10-13 19:41:10.052467,2025-10-13 19:42:48.657895,0 days 00:01:38.605428,gelu,64,0.2,5,huber,0.0009457303772005651,0.3586666521497245,6.87854790509501e-05,256,,COMPLETE
28,1.0479177594184876,2025-10-13 19:42:48.797691,2025-10-13 19:47:38.889731,0 days 00:04:50.092040,gelu,16,0.2,4,huber,0.001179410577272828,0.3266243759802245,1.7906040477761657e-06,128,,COMPLETE
29,1.0459504425525665,2025-10-13 19:47:39.025970,2025-10-13 19:51:05.656425,0 days 00:03:26.630455,gelu,16,0.2,4,mse,0.0014609007885424095,0.22074554530908597,6.24543393232003e-06,512,,COMPLETE
30,1.0024661719799042,2025-10-13 19:51:05.790722,2025-10-13 19:51:54.579141,0 days 00:00:48.788419,gelu,64,0.0,4,huber,0.0005930471368913773,0.27486712759334536,1.305722927132681e-05,1024,,COMPLETE
31,1.0017046272754668,2025-10-13 19:51:54.702313,2025-10-13 19:53:03.285153,0 days 00:01:08.582840,gelu,64,0.2,4,huber,0.0009944729396933354,0.34570293857821527,3.1421190020135064e-06,1024,,COMPLETE
32,0.9929247915744781,2025-10-13 19:53:03.418616,2025-10-13 19:54:12.740645,0 days 00:01:09.322029,gelu,64,0.2,4,huber,0.0011995945922902453,0.2932371735140828,1.922174296598995e-06,1024,,COMPLETE
33,1.0268968617916108,2025-10-13 19:54:12.872850,2025-10-13 19:55:11.736546,0 days 00:00:58.863696,gelu,64,0.2,3,mse,0.0011691438584418097,0.29388703284403805,1.6388569885354357e-06,1024,,COMPLETE
34,1.0167106211185455,2025-10-13 19:55:11.870322,2025-10-13 19:56:01.747177,0 days 00:00:49.876855,gelu,64,0.2,4,huber,0.0018128952733741097,0.28253979041944755,4.988277999210431e-06,1024,,COMPLETE
35,1.0281082212924957,2025-10-13 19:56:01.881596,2025-10-13 19:57:35.637912,0 days 00:01:33.756316,relu,64,0.3,4,huber,0.0013475672663407832,0.2549034278337142,9.839129376695128e-06,256,,COMPLETE
36,1.0186667239665985,2025-10-13 19:57:35.770680,2025-10-13 19:58:48.212258,0 days 00:01:12.441578,gelu,64,0.2,3,mse,0.0011615922666433774,0.26567636655187377,2.2897429439576558e-06,1024,,COMPLETE
37,0.9724176943302154,2025-10-13 19:58:48.347157,2025-10-13 19:59:45.778449,0 days 00:00:57.431292,relu,64,0.0,4,huber,0.000758966879769028,0.30487264304288036,0.0003395649082264482,512,,COMPLETE
38,1.0119966864585876,2025-10-13 19:59:45.913800,2025-10-13 20:04:11.912684,0 days 00:04:25.998884,relu,16,0.0,6,huber,0.0007318363820931217,0.3061784821783812,0.0009819131469058539,512,,COMPLETE
39,1.042878556251526,2025-10-13 20:04:12.047430,2025-10-13 20:05:16.265277,0 days 00:01:04.217847,relu,64,0.0,5,mse,0.0006471747455773078,0.3015478470234753,0.00040798744952226214,512,,COMPLETE
40,0.9982043898105621,2025-10-13 20:05:16.399134,2025-10-13 20:06:04.987625,0 days 00:00:48.588491,relu,64,0.0,3,huber,0.0017737146822930055,0.22102194631748903,0.0002930353396841329,512,,COMPLETE
41,0.9788989245891571,2025-10-13 20:06:05.110979,2025-10-13 20:06:58.894506,0 days 00:00:53.783527,relu,64,0.0,4,huber,0.0007838362421285399,0.3125106926352698,0.0006811695783807612,512,,COMPLETE
42,0.9961130619049072,2025-10-13 20:06:59.029075,2025-10-13 20:07:47.903513,0 days 00:00:48.874438,relu,64,0.0,4,huber,0.000891526756399976,0.3324936572414869,0.0006226605708946832,512,,COMPLETE
43,0.9835604369640351,2025-10-13 20:07:48.026822,2025-10-13 20:08:39.499122,0 days 00:00:51.472300,relu,64,0.0,4,huber,0.000642609898114935,0.30866888664272907,0.00025961168222806455,512,,COMPLETE
44,0.9993167161941529,2025-10-13 20:08:39.632951,2025-10-13 20:09:20.213805,0 days 00:00:40.580854,relu,64,0.0,4,huber,0.0006500895862318444,0.31136127956276877,0.00018893367348521152,512,,COMPLETE
45,1.0400682449340821,2025-10-13 20:09:20.344651,2025-10-13 20:10:40.382096,0 days 00:01:20.037445,relu,32,0.0,2,mae,0.0005661883227889901,0.3027938490805032,0.00023969027883138016,512,,COMPLETE
46,0.9893261671066285,2025-10-13 20:10:40.515880,2025-10-13 20:11:38.627006,0 days 00:00:58.111126,relu,64,0.0,4,huber,0.0007197533611704609,0.3357262061119084,0.0005884927425063935,512,,COMPLETE
47,1.0102268934249878,2025-10-13 20:11:38.754337,2025-10-13 20:12:22.644965,0 days 00:00:43.890628,relu,64,0.0,4,huber,0.0006600115332789178,0.3133471031078438,0.00032189120735571917,512,,COMPLETE
48,1.0269101679325103,2025-10-13 20:12:22.779360,2025-10-13 20:13:46.001909,0 days 00:01:23.222549,relu,32,0.0,2,mae,0.0005448409729567902,0.2843183402705434,0.00013167813565508245,512,,COMPLETE
49,1.0135394513607026,2025-10-13 20:13:46.136147,2025-10-13 20:17:08.478991,0 days 00:03:22.342844,relu,16,0.0,4,huber,0.0008532770719881241,0.36188097351284576,0.0009523549446127132,512,,COMPLETE
50,1.0456708431243897,2025-10-13 20:17:08.613368,2025-10-13 20:18:35.049057,0 days 00:01:26.435689,relu,64,0.1,4,mse,0.0006218500226130855,0.2964991413352642,0.00013729595763116833,128,,COMPLETE
51,0.9940274477005004,2025-10-13 20:18:35.182838,2025-10-13 20:19:25.911130,0 days 00:00:50.728292,relu,64,0.0,4,huber,0.0007118936738105134,0.33660920843992326,0.0005207691271865994,512,,COMPLETE
52,1.0037433445453643,2025-10-13 20:19:26.034450,2025-10-13 20:20:09.880953,0 days 00:00:43.846503,relu,64,0.0,4,huber,0.0007531063390692071,0.3517173243198661,0.0006548784379716226,512,,COMPLETE
53,0.9907042920589447,2025-10-13 20:20:10.014393,2025-10-13 20:20:56.218820,0 days 00:00:46.204427,relu,64,0.0,4,huber,0.0006939366324298652,0.32994072431870797,0.00048626697341909474,512,,COMPLETE
54,1.0064252257347106,2025-10-13 20:20:56.347999,2025-10-13 20:22:29.673867,0 days 00:01:33.325868,relu,64,0.3,4,huber,0.0008101027431053408,0.3379813655697874,0.0003380464212906993,512,,COMPLETE
55,0.9820554912090301,2025-10-13 20:22:29.807775,2025-10-13 20:23:27.890956,0 days 00:00:58.083181,relu,64,0.0,5,huber,0.0009060054163307944,0.3988195813309334,0.0007137180602781733,512,,COMPLETE
56,0.9913173377513885,2025-10-13 20:23:28.024410,2025-10-13 20:25:04.041080,0 days 00:01:36.016670,relu,64,0.0,5,huber,0.0009009025600404113,0.3885471995490193,0.0007875778016233285,256,True,COMPLETE
57,0.9965651452541351,2025-10-13 20:25:04.175388,2025-10-13 20:27:26.781115,0 days 00:02:22.605727,relu,32,0.1,5,huber,0.0009647769624210071,0.3988031430977408,0.00017373132981662718,512,,COMPLETE
58,0.9981565773487091,2025-10-13 20:27:26.914585,2025-10-13 20:28:47.726750,0 days 00:01:20.812165,relu,64,0.0,5,mae,0.0008204963058815138,0.3743626358583201,3.650167363783448e-05,128,,COMPLETE
