number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
177,0.950352615,21:15.3,22:47.3,0 days 00:01:31.961116,relu,64,0,6,huber,0.000587515,0.220664184,0.000483864,512,,COMPLETE
146,0.956771266,36:54.5,38:17.6,0 days 00:01:23.068837,relu,64,0,6,huber,0.000521245,0.204638451,0.000346652,512,,COMPLETE
101,0.959055918,37:16.5,38:40.3,0 days 00:01:23.713803,relu,64,0,6,huber,0.000552913,0.201605573,0.000175846,512,,COMPLETE
155,0.959821862,48:13.1,49:36.5,0 days 00:01:23.423830,relu,64,0,6,huber,0.000556474,0.200135224,0.000736713,1024,,COMPLETE
263,0.96047942,20:28.4,21:49.2,0 days 00:01:20.759456,relu,64,0,6,huber,0.000558249,0.233648465,0.000518787,512,,COMPLETE
147,0.960854149,38:17.7,39:42.1,0 days 00:01:24.410012,relu,64,0,6,huber,0.000513061,0.208830193,0.00042956,512,,COMPLETE
145,0.961079609,35:32.4,36:54.4,0 days 00:01:21.951534,relu,64,0,6,huber,0.000553978,0.20915626,0.000340513,512,,COMPLETE
354,0.961885542,28:55.5,30:12.2,0 days 00:01:16.699761,relu,64,0,6,huber,0.000571168,0.20279751,0.000989859,512,,COMPLETE
470,0.962618965,10:50.0,12:14.6,0 days 00:01:24.586780,gelu,64,0,6,huber,0.000528983,0.216859789,0.000611352,512,,COMPLETE
422,0.962715673,04:11.2,05:28.8,0 days 00:01:17.617889,relu,64,0,6,huber,0.000524251,0.391999759,0.000661846,512,,COMPLETE
183,0.962987065,28:52.1,30:29.3,0 days 00:01:37.246019,relu,64,0,6,huber,0.000559612,0.218703112,0.000793017,512,,COMPLETE
273,0.963722861,33:55.4,35:19.8,0 days 00:01:24.433833,relu,64,0,6,huber,0.0005149,0.209029896,0.00065679,512,,COMPLETE
246,0.963723361,56:09.3,57:29.6,0 days 00:01:20.298321,relu,64,0,6,huber,0.000514245,0.216799797,0.000704807,512,,COMPLETE
332,0.963957053,57:48.1,59:04.8,0 days 00:01:16.713067,relu,64,0,6,huber,0.000803244,0.229769784,0.00065638,512,,COMPLETE
243,0.964010531,52:03.3,53:24.7,0 days 00:01:21.373006,relu,64,0,6,huber,0.000535956,0.206167479,0.00082525,512,,COMPLETE
231,0.964595813,38:18.5,39:27.7,0 days 00:01:09.218440,relu,64,0,6,huber,0.000556883,0.207209463,0.000645874,512,,COMPLETE
97,0.964888537,27:00.9,28:21.0,0 days 00:01:20.154233,relu,64,0,6,huber,0.000627607,0.237315127,0.000350669,512,,COMPLETE
311,0.964964354,28:41.7,29:54.0,0 days 00:01:12.305537,relu,64,0,5,huber,0.000546673,0.211191382,0.000904019,512,,COMPLETE
191,0.965485209,43:38.2,45:01.1,0 days 00:01:22.860384,relu,64,0,6,huber,0.000551087,0.226321461,0.00043287,512,,COMPLETE
225,0.965490013,27:31.9,28:48.9,0 days 00:01:16.994868,relu,64,0,6,huber,0.000558582,0.211364577,0.000456017,512,,COMPLETE
