number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
0,1.3611250615119934,2025-10-13 19:12:44.248447,2025-10-13 19:13:13.928084,0 days 00:00:29.679637,gelu,16,0.2,3,mse,0.0006066716167545476,0.2732723686587384,7.523742884534855e-06,512,,COMPLETE
1,1.351530704498291,2025-10-13 19:13:14.022909,2025-10-13 19:13:23.965543,0 days 00:00:09.942634,relu,32,0.1,3,mse,0.0012527031373763462,0.3040136042355622,8.61257919259488e-06,256,,COMPLETE
2,1.3237877368927002,2025-10-13 19:13:24.060188,2025-10-13 19:13:37.522364,0 days 00:00:13.462176,relu,32,0.3,4,mse,0.001963971335197028,0.2397431363068345,0.00020736445177905034,512,,COMPLETE
3,1.3051930999755859,2025-10-13 19:13:37.614085,2025-10-13 19:13:45.756798,0 days 00:00:08.142713,gelu,32,0.0,3,huber,0.0010886607090370023,0.2987591192728782,0.00020554245520150764,1024,,COMPLETE
4,1.3208369016647339,2025-10-13 19:13:45.852379,2025-10-13 19:13:55.055076,0 days 00:00:09.202697,relu,32,0.2,2,huber,0.0006475843912188624,0.30786844838313016,0.00047607677518095016,1024,,COMPLETE
5,1.3257279372215272,2025-10-13 19:13:55.151174,2025-10-13 19:14:05.611911,0 days 00:00:10.460737,relu,32,0.0,3,mse,0.0007088560513301823,0.26017566196335395,3.10274095091284e-05,512,,COMPLETE
6,1.2876347064971925,2025-10-13 19:14:05.705985,2025-10-13 19:14:30.297449,0 days 00:00:24.591464,relu,16,0.1,4,mae,0.0015917403205814298,0.23730370207997087,9.169384722192327e-06,256,,COMPLETE
7,1.2714753985404967,2025-10-13 19:14:30.393823,2025-10-13 19:14:42.648809,0 days 00:00:12.254986,relu,32,0.1,4,mae,0.000699164859916176,0.3794431515906654,1.902428324748959e-06,1024,,COMPLETE
8,1.3696861386299133,2025-10-13 19:14:42.744672,2025-10-13 19:14:51.271471,0 days 00:00:08.526799,relu,64,0.2,2,mae,0.0006823286119485609,0.24744981749936001,0.00013694231460024357,128,,COMPLETE
9,1.3048655271530152,2025-10-13 19:14:51.363118,2025-10-13 19:15:15.791568,0 days 00:00:24.428450,relu,32,0.1,5,huber,0.0005171418382725168,0.2354221358814098,8.638073353835183e-05,128,,COMPLETE
10,1.299344003200531,2025-10-13 19:15:15.885948,2025-10-13 19:15:27.425221,0 days 00:00:11.539273,gelu,64,0.3,6,mae,0.0008857637204571879,0.3939850901739813,1.0788457202107386e-06,1024,,COMPLETE
11,1.2991001963615418,2025-10-13 19:15:27.519605,2025-10-13 19:15:52.499907,0 days 00:00:24.980302,relu,16,0.1,4,mae,0.0018290870685478422,0.3878079073233283,1.1636054949240983e-06,256,,COMPLETE
12,1.2782163739204406,2025-10-13 19:15:52.593669,2025-10-13 19:16:19.651068,0 days 00:00:27.057399,relu,16,0.1,4,mae,0.0014578557984351631,0.20439135940331993,4.619596215219004e-06,256,,COMPLETE
13,1.284325158596039,2025-10-13 19:16:19.744844,2025-10-13 19:16:48.780391,0 days 00:00:29.035547,relu,16,0.1,4,mae,0.0013631391444824381,0.35467221645773966,2.950795886788388e-06,256,,COMPLETE
14,1.3079946041107178,2025-10-13 19:16:48.878635,2025-10-13 19:17:10.125486,0 days 00:00:21.246851,gelu,16,0.1,4,mae,0.0008869820165923342,0.3448125572098918,3.295521577730295e-06,1024,,COMPLETE
15,1.2902076482772826,2025-10-13 19:17:10.221243,2025-10-13 19:17:23.281120,0 days 00:00:13.059877,relu,64,0.1,6,mae,0.000989839887043117,0.21468990720896036,2.5723816932962657e-05,256,,COMPLETE
16,1.3190901398658752,2025-10-13 19:17:23.374607,2025-10-13 19:17:45.488430,0 days 00:00:22.113823,relu,16,0.1,5,mae,0.0014201890121665298,0.20263584287618475,4.069347558810574e-06,1024,,COMPLETE
17,1.4158772110939026,2025-10-13 19:17:45.583823,2025-10-13 19:18:22.499706,0 days 00:00:36.915883,relu,16,0.3,4,mae,0.0008035548458907066,0.356623122824283,1.5564039433189233e-05,128,,COMPLETE
