number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
278,1.205090809,09:51.7,10:03.1,0 days 00:00:11.407137,gelu,64,0,6,huber,0.000533765,0.276617032,1.39E-05,512,,COMPLETE
389,1.209109414,29:04.5,29:15.6,0 days 00:00:11.187674,gelu,64,0,6,huber,0.000500668,0.261606201,8.66E-06,512,,COMPLETE
481,1.209583199,45:09.8,45:19.1,0 days 00:00:09.353027,gelu,64,0,6,huber,0.000531378,0.275137533,1.14E-05,512,,COMPLETE
313,1.210294843,15:34.2,15:45.4,0 days 00:00:11.201884,gelu,64,0,6,huber,0.000547322,0.252060208,1.38E-05,512,,COMPLETE
214,1.211371899,01:26.1,01:34.7,0 days 00:00:08.629903,gelu,64,0,6,huber,0.001573317,0.305011114,1.84E-05,512,,COMPLETE
297,1.212151682,13:08.6,13:18.3,0 days 00:00:09.713878,gelu,64,0,6,huber,0.00054392,0.265265599,1.70E-05,512,,COMPLETE
387,1.212748039,28:23.8,28:34.5,0 days 00:00:10.689860,gelu,64,0,6,huber,0.000513755,0.261766465,1.02E-05,512,,COMPLETE
298,1.213285059,13:18.4,13:27.7,0 days 00:00:09.326194,gelu,64,0,6,huber,0.000588732,0.279502149,1.48E-05,512,,COMPLETE
476,1.214054221,44:24.2,44:34.4,0 days 00:00:10.155135,gelu,64,0,6,huber,0.000527419,0.286535621,9.16E-06,512,,COMPLETE
459,1.214074862,41:10.5,41:22.0,0 days 00:00:11.497072,gelu,64,0,6,huber,0.000523229,0.285232965,1.01E-05,512,,COMPLETE
336,1.215064776,19:33.2,19:43.9,0 days 00:00:10.747219,gelu,64,0,6,huber,0.000564877,0.273076705,1.28E-05,512,,COMPLETE
356,1.216203558,23:13.0,23:22.8,0 days 00:00:09.782669,gelu,64,0,6,huber,0.000513034,0.270238487,8.01E-06,512,,COMPLETE
443,1.216621202,38:17.4,38:27.1,0 days 00:00:09.764120,gelu,64,0,6,huber,0.000566075,0.265024203,1.22E-05,512,,COMPLETE
255,1.217028189,06:43.7,06:53.0,0 days 00:00:09.358403,gelu,64,0,6,huber,0.001593897,0.28594318,1.04E-05,512,,COMPLETE
301,1.217073846,13:47.3,13:56.9,0 days 00:00:09.610010,gelu,64,0,6,huber,0.000548261,0.258881909,1.17E-05,512,,COMPLETE
272,1.217258221,08:59.2,09:09.6,0 days 00:00:10.371266,gelu,64,0,6,huber,0.000528852,0.285606433,1.64E-05,512,,COMPLETE
284,1.21734587,10:48.4,10:58.2,0 days 00:00:09.817326,gelu,64,0,6,huber,0.000565209,0.27008996,1.47E-05,512,,COMPLETE
468,1.218063259,42:52.9,43:01.8,0 days 00:00:08.858156,gelu,64,0,6,huber,0.00055418,0.287186516,1.45E-05,512,,COMPLETE
275,1.21830104,09:26.3,09:36.6,0 days 00:00:10.296546,gelu,64,0,6,huber,0.00056413,0.276411376,1.55E-05,512,,COMPLETE
349,1.218969262,22:05.7,22:15.5,0 days 00:00:09.782877,gelu,64,0,6,huber,0.000542965,0.270037757,1.28E-05,512,,COMPLETE
303,1.219495618,14:05.6,14:14.9,0 days 00:00:09.302332,gelu,64,0,6,huber,0.000553289,0.25831414,1.66E-05,512,,COMPLETE
426,1.219590545,35:06.6,35:15.8,0 days 00:00:09.225257,gelu,64,0,6,huber,0.000516469,0.271563524,1.50E-05,512,,COMPLETE
312,1.220309544,15:24.5,15:34.1,0 days 00:00:09.598503,gelu,64,0,6,huber,0.000551003,0.250438441,1.32E-05,512,,COMPLETE
393,1.220361423,29:41.9,29:50.8,0 days 00:00:08.929438,gelu,64,0,6,huber,0.000524148,0.261750657,9.97E-06,512,,COMPLETE
299,1.221291316,13:27.8,13:37.7,0 days 00:00:09.950255,gelu,64,0,6,huber,0.000550701,0.264354527,1.41E-05,512,,COMPLETE
352,1.221386015,22:33.9,22:43.5,0 days 00:00:09.669294,gelu,64,0,6,huber,0.000500682,0.270810058,8.63E-06,512,,COMPLETE
176,1.222480059,56:31.3,56:39.2,0 days 00:00:07.853283,gelu,64,0,6,huber,0.001556926,0.29459319,4.82E-06,512,,COMPLETE
338,1.222637689,19:54.3,20:04.6,0 days 00:00:10.316332,gelu,64,0,6,huber,0.000537709,0.262271428,1.22E-05,512,,COMPLETE
353,1.223216152,22:43.6,22:53.1,0 days 00:00:09.503158,gelu,64,0,6,huber,0.000512746,0.270740167,9.86E-06,512,,COMPLETE
401,1.223363376,30:59.7,31:08.8,0 days 00:00:09.016143,gelu,64,0,6,huber,0.000601791,0.265156353,6.94E-06,512,,COMPLETE
374,1.22400521,26:22.9,26:32.8,0 days 00:00:09.869753,gelu,64,0,6,huber,0.00052353,0.274764959,1.11E-05,512,,COMPLETE
169,1.224072111,55:32.3,55:40.4,0 days 00:00:08.121338,gelu,64,0,6,huber,0.001555834,0.297037612,9.95E-06,512,,COMPLETE
110,1.224432206,47:21.8,47:31.2,0 days 00:00:09.414356,gelu,64,0,6,mae,0.00106454,0.288624551,4.08E-06,512,,COMPLETE
292,1.22461412,12:07.0,12:18.4,0 days 00:00:11.409343,gelu,64,0,6,huber,0.000511912,0.268815692,2.00E-05,512,,COMPLETE
189,1.22480756,58:10.5,58:18.2,0 days 00:00:07.771528,gelu,64,0,6,huber,0.001678633,0.295327754,2.83E-06,512,,COMPLETE
382,1.224895298,27:38.4,27:48.6,0 days 00:00:10.256056,gelu,64,0,6,huber,0.000501976,0.260577079,1.71E-05,512,,COMPLETE
351,1.224949288,22:24.7,22:33.8,0 days 00:00:09.116142,gelu,64,0,6,huber,0.000528239,0.272166781,9.21E-06,512,,COMPLETE
355,1.224966383,23:03.2,23:12.9,0 days 00:00:09.730566,gelu,64,0,6,huber,0.000512743,0.267729674,8.28E-06,512,,COMPLETE
454,1.225186068,40:05.4,40:15.7,0 days 00:00:10.335670,gelu,64,0,6,huber,0.000509731,0.272629814,1.79E-05,512,,COMPLETE
452,1.225241911,39:46.5,39:55.5,0 days 00:00:09.028424,gelu,64,0,6,huber,0.000528799,0.256414784,1.49E-05,512,,COMPLETE
328,1.22578671,18:26.2,18:35.5,0 days 00:00:09.275280,gelu,64,0,6,huber,0.000585057,0.246632995,1.08E-05,512,,COMPLETE
279,1.226328087,10:03.1,10:12.8,0 days 00:00:09.605204,gelu,64,0,6,huber,0.000572158,0.280418658,1.41E-05,512,,COMPLETE
456,1.226878405,40:42.2,40:50.9,0 days 00:00:08.722761,gelu,64,0,6,huber,0.000526083,0.268279845,1.28E-05,512,,COMPLETE
128,1.226964259,49:53.9,50:02.9,0 days 00:00:08.948256,gelu,64,0,6,huber,0.001237519,0.283694003,1.25E-05,512,,COMPLETE
