number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
0,1.3048694944381714,2025-10-13 19:16:51.304949,2025-10-13 19:17:01.591508,0 days 00:00:10.286559,gelu,16,0.2,3,mse,0.0006066716167545476,0.2732723686587384,7.523742884534855e-06,512,,COMPLETE
1,1.2465061581134795,2025-10-13 19:17:01.679728,2025-10-13 19:17:06.734607,0 days 00:00:05.054879,relu,32,0.1,3,mse,0.0012527031373763462,0.3040136042355622,8.61257919259488e-06,256,,COMPLETE
2,1.2638730347156524,2025-10-13 19:17:06.821567,2025-10-13 19:17:12.526171,0 days 00:00:05.704604,relu,32,0.3,4,mse,0.001963971335197028,0.2397431363068345,0.00020736445177905034,512,,COMPLETE
3,1.2678478276729583,2025-10-13 19:17:12.626934,2025-10-13 19:17:16.403475,0 days 00:00:03.776541,gelu,32,0.0,3,huber,0.0010886607090370023,0.2987591192728782,0.00020554245520150764,1024,,COMPLETE
4,1.2928077042102815,2025-10-13 19:17:16.506114,2025-10-13 19:17:19.933490,0 days 00:00:03.427376,relu,32,0.2,2,huber,0.0006475843912188624,0.30786844838313016,0.00047607677518095016,1024,,COMPLETE
5,1.2681149339675903,2025-10-13 19:17:20.030554,2025-10-13 19:17:24.287604,0 days 00:00:04.257050,relu,32,0.0,3,mse,0.0007088560513301823,0.26017566196335395,3.10274095091284e-05,512,,COMPLETE
6,1.2821939826011657,2025-10-13 19:17:24.382087,2025-10-13 19:17:34.151787,0 days 00:00:09.769700,relu,16,0.1,4,mae,0.0015917403205814298,0.23730370207997087,9.169384722192327e-06,256,,COMPLETE
7,1.258816760778427,2025-10-13 19:17:34.250695,2025-10-13 19:17:39.948355,0 days 00:00:05.697660,relu,32,0.1,4,mae,0.000699164859916176,0.3794431515906654,1.902428324748959e-06,1024,,COMPLETE
8,1.408879679441452,2025-10-13 19:17:40.039451,2025-10-13 19:17:42.749385,0 days 00:00:02.709934,relu,64,0.2,2,mae,0.0006823286119485609,0.24744981749936001,0.00013694231460024357,128,,COMPLETE
9,1.3466722309589385,2025-10-13 19:17:42.839155,2025-10-13 19:17:56.497784,0 days 00:00:13.658629,relu,32,0.1,5,huber,0.0005171418382725168,0.2354221358814098,8.638073353835183e-05,128,,COMPLETE
10,1.5128804862499237,2025-10-13 19:17:56.591522,2025-10-13 19:18:02.081792,0 days 00:00:05.490270,gelu,64,0.3,6,mse,0.0011606098865402385,0.35672592422980337,1.1364305837620318e-06,256,,COMPLETE
11,1.2906182944774627,2025-10-13 19:18:02.170585,2025-10-13 19:18:07.633640,0 days 00:00:05.463055,relu,32,0.1,4,mae,0.0008483955019643836,0.399633017617135,1.155265103195467e-06,1024,,COMPLETE
12,1.3167366802692413,2025-10-13 19:18:07.726967,2025-10-13 19:18:13.690913,0 days 00:00:05.963946,relu,32,0.1,5,mae,0.0013287045873395316,0.350067689937897,4.4377550777377755e-06,256,,COMPLETE
13,1.3387166082859039,2025-10-13 19:18:13.776988,2025-10-13 19:18:19.786408,0 days 00:00:06.009420,relu,64,0.1,6,mae,0.0008914044826048012,0.39961220438923534,3.148341299917624e-06,256,,COMPLETE
14,1.2515760719776154,2025-10-13 19:18:19.873203,2025-10-13 19:18:23.959200,0 days 00:00:04.085997,gelu,32,0.1,4,mse,0.001426805697088773,0.34823063823598954,1.88139731420896e-05,1024,,COMPLETE
15,1.2893749630451203,2025-10-13 19:18:24.053113,2025-10-13 19:18:31.036477,0 days 00:00:06.983364,gelu,16,0.1,3,mse,0.0014171033113012264,0.32401233339255675,2.0565218123591103e-05,1024,,COMPLETE
16,1.2789260745048523,2025-10-13 19:18:31.126856,2025-10-13 19:18:35.897205,0 days 00:00:04.770349,gelu,32,0.1,4,mse,0.0017312482043510423,0.20263584287618475,1.466586166976249e-05,256,,COMPLETE
17,1.3507619440555572,2025-10-13 19:18:35.983503,2025-10-13 19:18:42.098418,0 days 00:00:06.114915,gelu,32,0.3,3,mse,0.0012548610593396746,0.33626141606641796,6.052861740049788e-05,128,,COMPLETE
