number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
0,1.4070141768455506,2025-10-13 19:21:28.895760,2025-10-13 19:22:29.840547,0 days 00:01:00.944787,gelu,16,0.2,3,mse,0.0006066716167545476,0.2732723686587384,7.523742884534855e-06,512,,COMPLETE
1,1.3488274550437926,2025-10-13 19:22:29.940890,2025-10-13 19:22:59.404043,0 days 00:00:29.463153,relu,32,0.1,3,mse,0.0012527031373763462,0.3040136042355622,8.61257919259488e-06,256,,COMPLETE
2,1.3138833045959473,2025-10-13 19:22:59.496042,2025-10-13 19:23:45.547741,0 days 00:00:46.051699,relu,32,0.3,4,mse,0.001963971335197028,0.2397431363068345,0.00020736445177905034,512,,COMPLETE
3,1.346240577697754,2025-10-13 19:23:45.648760,2025-10-13 19:24:09.969995,0 days 00:00:24.321235,gelu,32,0.0,3,huber,0.0010886607090370023,0.2987591192728782,0.00020554245520150764,1024,,COMPLETE
4,1.3790391087532043,2025-10-13 19:24:10.071299,2025-10-13 19:24:35.879710,0 days 00:00:25.808411,relu,32,0.2,2,huber,0.0006475843912188624,0.30786844838313016,0.00047607677518095016,1024,,COMPLETE
5,1.2933001732826233,2025-10-13 19:24:35.980582,2025-10-13 19:25:03.553913,0 days 00:00:27.573331,relu,32,0.0,3,mse,0.0007088560513301823,0.26017566196335395,3.10274095091284e-05,512,,COMPLETE
6,1.3669487237930298,2025-10-13 19:25:03.653455,2025-10-13 19:26:16.852768,0 days 00:01:13.199313,relu,16,0.1,4,mae,0.0015917403205814298,0.23730370207997087,9.169384722192327e-06,256,,COMPLETE
7,1.3626208424568176,2025-10-13 19:26:16.953449,2025-10-13 19:26:46.156831,0 days 00:00:29.203382,relu,32,0.1,4,mae,0.000699164859916176,0.3794431515906654,1.902428324748959e-06,1024,,COMPLETE
8,1.4737921237945557,2025-10-13 19:26:46.255745,2025-10-13 19:27:07.841704,0 days 00:00:21.585959,relu,64,0.2,2,mae,0.0006823286119485609,0.24744981749936001,0.00013694231460024357,128,,COMPLETE
9,1.4129147291183473,2025-10-13 19:27:07.942110,2025-10-13 19:27:57.715614,0 days 00:00:49.773504,relu,32,0.1,5,huber,0.0005171418382725168,0.2354221358814098,8.638073353835183e-05,128,,COMPLETE
10,1.3101799368858338,2025-10-13 19:27:57.810938,2025-10-13 19:28:15.466110,0 days 00:00:17.655172,gelu,64,0.0,6,mse,0.0008857637204571879,0.3567259242298034,3.923433952637712e-05,512,,COMPLETE
11,1.263291025161743,2025-10-13 19:28:15.567363,2025-10-13 19:28:36.360807,0 days 00:00:20.793444,gelu,64,0.0,6,mse,0.0008378730717465438,0.36870231924461516,3.9033672790323755e-05,512,,COMPLETE
12,1.310181438922882,2025-10-13 19:28:36.456800,2025-10-13 19:28:54.157995,0 days 00:00:17.701195,gelu,64,0.0,6,mse,0.0008332287430571296,0.3404768165644488,2.647573637067343e-05,512,,COMPLETE
13,1.3025287628173827,2025-10-13 19:28:54.247489,2025-10-13 19:29:12.777238,0 days 00:00:18.529749,gelu,64,0.0,6,mse,0.0008622095977222921,0.3995786688309527,3.099246938221801e-05,512,,COMPLETE
14,1.3372932076454163,2025-10-13 19:29:12.877220,2025-10-13 19:29:25.025579,0 days 00:00:12.148359,gelu,64,0.0,5,mse,0.0010849263929746486,0.3409854165203022,3.1381149231882142e-06,512,,COMPLETE
15,1.4443861603736878,2025-10-13 19:29:25.114181,2025-10-13 19:30:56.619525,0 days 00:01:31.505344,gelu,16,0.3,6,mse,0.0007780100010572863,0.21398061268625668,0.0009366270059807794,512,,COMPLETE
16,1.2985018229484557,2025-10-13 19:30:56.721379,2025-10-13 19:31:10.705109,0 days 00:00:13.983730,relu,64,0.0,3,mse,0.0005017869148286186,0.2727196515679949,4.773618185168039e-05,512,,COMPLETE
17,1.312726616859436,2025-10-13 19:31:10.792411,2025-10-13 19:31:27.361887,0 days 00:00:16.569476,gelu,64,0.0,3,mse,0.0012848534465339544,0.32376067404924885,1.4631152488046954e-05,128,,COMPLETE
18,1.347192656993866,2025-10-13 19:31:27.461673,2025-10-13 19:32:18.860875,0 days 00:00:51.399202,relu,32,0.0,6,huber,0.0009881757550969142,0.27115367187721295,8.287485864249114e-05,256,True,COMPLETE
19,1.4418599605560303,2025-10-13 19:32:18.960521,2025-10-13 19:33:15.652928,0 days 00:00:56.692407,gelu,16,0.3,2,mae,0.000568764671757059,0.20867141918467175,1.7966448913155672e-05,512,,COMPLETE
20,1.3193626523017883,2025-10-13 19:33:15.755785,2025-10-13 19:33:31.602310,0 days 00:00:15.846525,gelu,64,0.0,5,mse,0.0007486185517597127,0.36927726450365367,1.0835847514722109e-06,512,,COMPLETE
21,1.3029759263992309,2025-10-13 19:33:31.691509,2025-10-13 19:33:46.443957,0 days 00:00:14.752448,relu,64,0.0,3,mse,0.00050262675959646,0.2781416014569594,5.4843838024447616e-05,512,,COMPLETE
22,1.285966227054596,2025-10-13 19:33:46.531404,2025-10-13 19:34:02.322861,0 days 00:00:15.791457,relu,64,0.0,3,mse,0.0005778751676489785,0.25967542089077744,5.662971432471513e-05,512,,COMPLETE
23,1.2918109035491943,2025-10-13 19:34:02.412021,2025-10-13 19:34:17.975476,0 days 00:00:15.563455,relu,64,0.0,3,mse,0.000594032238263466,0.2562919555384708,7.116689539063574e-05,512,,COMPLETE
24,1.3042777395248413,2025-10-13 19:34:18.067290,2025-10-13 19:34:32.541854,0 days 00:00:14.474564,relu,64,0.0,3,mse,0.000583250273944691,0.28783779539862153,0.00012082844050092113,512,,COMPLETE
25,1.2871897339820861,2025-10-13 19:34:32.643637,2025-10-13 19:34:50.719424,0 days 00:00:18.075787,relu,64,0.0,6,mse,0.0006215912204204202,0.25581113521200216,0.0003139716791439955,512,,COMPLETE
26,1.37217036485672,2025-10-13 19:34:50.813344,2025-10-13 19:35:13.042849,0 days 00:00:22.229505,relu,64,0.0,6,mse,0.0009593531606276312,0.31411994130060084,0.00040206482404406095,256,True,COMPLETE
27,1.5454921126365662,2025-10-13 19:35:13.142153,2025-10-13 19:35:45.985644,0 days 00:00:32.843491,relu,64,0.2,6,mse,0.0006195246604596054,0.22043096789384864,0.00031586006841840473,128,,COMPLETE
28,1.361890435218811,2025-10-13 19:35:46.086090,2025-10-13 19:36:11.625755,0 days 00:00:25.539665,gelu,64,0.3,6,huber,0.0007806345306688412,0.2928976886119289,0.000867127528206521,1024,,COMPLETE
29,1.415798544883728,2025-10-13 19:36:11.724997,2025-10-13 19:37:50.980754,0 days 00:01:39.255757,gelu,16,0.2,6,mae,0.0005484420756630961,0.22618035971082098,4.8789725985653065e-06,512,,COMPLETE
30,1.3194078207015991,2025-10-13 19:37:51.085407,2025-10-13 19:38:07.439459,0 days 00:00:16.354052,relu,64,0.0,6,mse,0.000663106138391583,0.2598188580711491,1.6942655758495676e-05,512,,COMPLETE
31,1.2747868633270263,2025-10-13 19:38:07.539672,2025-10-13 19:38:23.368506,0 days 00:00:15.828834,relu,64,0.0,3,mse,0.0005999924490232073,0.25493082532661504,7.131013915663825e-05,512,,COMPLETE
32,1.3556250548362732,2025-10-13 19:38:23.456148,2025-10-13 19:38:34.646375,0 days 00:00:11.190227,relu,64,0.0,3,mse,0.0006233310948736544,0.25315402153057964,0.00013909311320182944,512,,COMPLETE
33,1.2876310324668885,2025-10-13 19:38:34.731518,2025-10-13 19:38:50.836794,0 days 00:00:16.105276,relu,64,0.0,3,mse,0.0005514655669743891,0.2820659540611149,0.00027437275894960216,512,,COMPLETE
34,1.290742313861847,2025-10-13 19:38:50.931171,2025-10-13 19:39:05.555851,0 days 00:00:14.624680,relu,64,0.0,4,mse,0.0007327616741756226,0.20237282095279052,0.0005958236306509558,512,,COMPLETE
35,1.2966880774497986,2025-10-13 19:39:05.656124,2025-10-13 19:39:23.884276,0 days 00:00:18.228152,relu,64,0.1,3,mse,0.0013005669964145402,0.2709347001032042,0.0002093184205133628,256,,COMPLETE
36,1.35270813703537,2025-10-13 19:39:23.968220,2025-10-13 19:39:35.027586,0 days 00:00:11.059366,relu,64,0.0,2,mse,0.0006275853169622837,0.24385718933368855,6.176123003821093e-05,1024,,COMPLETE
37,1.3887137389183044,2025-10-13 19:39:35.158748,2025-10-13 19:40:44.935540,0 days 00:01:09.776792,relu,16,0.3,3,huber,0.0011262954577451081,0.22885385016363216,1.0804324031464048e-05,512,,COMPLETE
38,1.3516889214515686,2025-10-13 19:40:45.035455,2025-10-13 19:40:55.837356,0 days 00:00:10.801901,relu,64,0.0,4,mse,0.0014601305355953769,0.30570978328013737,2.4692900313919784e-05,512,,COMPLETE
39,1.3447378873825073,2025-10-13 19:40:55.945736,2025-10-13 19:41:14.858511,0 days 00:00:18.912775,relu,64,0.2,5,mse,0.0006612089699505046,0.32086660827502284,9.666810879061396e-05,1024,,COMPLETE
40,1.3514387226104736,2025-10-13 19:41:14.963647,2025-10-13 19:41:48.307913,0 days 00:00:33.344266,gelu,32,0.1,3,mae,0.0008122587930284287,0.2636212259453559,0.00020447129454583796,512,,COMPLETE
41,1.2667931175231935,2025-10-13 19:41:48.407322,2025-10-13 19:42:04.890539,0 days 00:00:16.483217,relu,64,0.0,3,mse,0.0005503187361109704,0.2813046847820727,0.00025427262059172807,512,,COMPLETE
