number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
0,1.106148931980133,2025-10-19 19:00:47.535094,2025-10-19 19:03:36.968429,0 days 00:02:49.433335,gelu,16,0.2,3,mse,0.0006066716167545476,0.2732723686587384,7.523742884534855e-06,512,,COMPLETE
1,1.0652810668945312,2025-10-19 19:03:37.055407,2025-10-19 19:05:17.436458,0 days 00:01:40.381051,relu,32,0.1,3,mse,0.0012527031373763462,0.3040136042355622,8.61257919259488e-06,256,,COMPLETE
2,1.0660085320472716,2025-10-19 19:05:17.518404,2025-10-19 19:07:11.401428,0 days 00:01:53.883024,relu,32,0.3,4,mse,0.001963971335197028,0.2397431363068345,0.00020736445177905034,512,,COMPLETE
3,1.044862995147705,2025-10-19 19:07:11.483948,2025-10-19 19:08:52.093961,0 days 00:01:40.610013,gelu,32,0.0,3,huber,0.0010886607090370023,0.2987591192728782,0.00020554245520150764,1024,,COMPLETE
4,1.0461045920848846,2025-10-19 19:08:52.175206,2025-10-19 19:10:55.881615,0 days 00:02:03.706409,relu,32,0.2,2,huber,0.0006475843912188624,0.30786844838313016,0.00047607677518095016,1024,,COMPLETE
5,1.061983219385147,2025-10-19 19:10:55.963193,2025-10-19 19:12:16.482432,0 days 00:01:20.519239,relu,32,0.0,3,mse,0.0007088560513301823,0.26017566196335395,3.10274095091284e-05,512,,COMPLETE
6,1.059204363822937,2025-10-19 19:12:16.564158,2025-10-19 19:17:00.750434,0 days 00:04:44.186276,relu,16,0.1,4,mae,0.0015917403205814298,0.23730370207997087,9.169384722192327e-06,256,,COMPLETE
7,1.0526494979858398,2025-10-19 19:17:00.837153,2025-10-19 19:18:45.819374,0 days 00:01:44.982221,relu,32,0.1,4,mae,0.000699164859916176,0.3794431515906654,1.902428324748959e-06,1024,,COMPLETE
8,1.0998343706130982,2025-10-19 19:18:45.900990,2025-10-19 19:19:46.582044,0 days 00:01:00.681054,relu,64,0.2,2,mae,0.0006823286119485609,0.24744981749936001,0.00013694231460024357,128,,COMPLETE
9,1.0710214376449585,2025-10-19 19:19:46.663175,2025-10-19 19:22:33.516908,0 days 00:02:46.853733,relu,32,0.1,5,huber,0.0005171418382725168,0.2354221358814098,8.638073353835183e-05,128,,COMPLETE
10,1.0221590936183929,2025-10-19 19:22:33.601900,2025-10-19 19:23:28.317525,0 days 00:00:54.715625,gelu,64,0.0,6,huber,0.001067721701801565,0.3489321798901472,0.00081480036418475,1024,,COMPLETE
11,1.0065778732299804,2025-10-19 19:23:28.398707,2025-10-19 19:24:27.527819,0 days 00:00:59.129112,gelu,64,0.0,6,huber,0.0009759982802645598,0.3535251995401583,0.0009645294587002139,1024,,COMPLETE
12,1.0456992626190185,2025-10-19 19:24:27.609059,2025-10-19 19:25:06.293737,0 days 00:00:38.684678,gelu,64,0.0,6,huber,0.0009282142604516454,0.36348266659981693,0.0009653567423836397,1024,,COMPLETE
13,1.0008870244026185,2025-10-19 19:25:06.375283,2025-10-19 19:26:11.127809,0 days 00:01:04.752526,gelu,64,0.0,6,huber,0.0009396914921302829,0.34035703847565946,0.0009828906136539757,1024,,COMPLETE
14,1.0114016354084014,2025-10-19 19:26:11.214615,2025-10-19 19:27:12.426986,0 days 00:01:01.212371,gelu,64,0.0,6,huber,0.0008890973098179346,0.3377187577578612,0.00039182030898710427,1024,,COMPLETE
15,1.039231264591217,2025-10-19 19:27:12.508448,2025-10-19 19:28:57.112892,0 days 00:01:44.604444,gelu,64,0.3,6,huber,0.0013571714844719208,0.39545329311901567,6.726356302293579e-05,1024,,COMPLETE
16,1.0016748070716859,2025-10-19 19:28:57.195058,2025-10-19 19:30:11.316222,0 days 00:01:14.121164,gelu,64,0.0,6,huber,0.000827543050916136,0.20263584287618475,0.00044793548403444165,1024,,COMPLETE
17,1.0403043568134307,2025-10-19 19:30:11.398343,2025-10-19 19:31:13.303515,0 days 00:01:01.905172,gelu,64,0.0,5,huber,0.0008023943799110219,0.2063741007051977,0.00036090177994245833,128,,COMPLETE
